书序,书名,作者,出版社（版本）,ISBN码,内容简介,阅读要点,阅读建议,grade,编号
11.0,鲁滨逊漂流记,【英】丹尼尔·笛福,时代文艺出版社（无障碍阅读）,9787538768183.0,《鲁宾逊漂流记》是英国作家丹尼尔·笛福创作的一部冒险小说，讲述了主人公鲁宾逊·克鲁索独自一人在荒岛上生存了28年的故事。在这段时间里，鲁宾逊凭借智慧和勇气，克服了无数困难，从一个荒岛上的遇难者变成了岛上的主人。这本书不仅是一部惊险刺激的冒险故事，也蕴含了自强不息和人类智慧的主题，启示读者面对困难要有勇气和坚持，展现了人与自然的斗争和和谐共存的可能性。,"1、生存智慧：关注鲁宾逊如何利用岛上的资源，通过自己的努力和智慧解决各种生存问题，比如获取食物、制作工具、建造住所等。
2、主题理解：深入理解自强不息和勇于探索的主题，思考在面对困难和挑战时，这些品质对于克服困难的重要性。
3、人与自然的关系：通过鲁宾逊的故事，思考人与自然之间的关系，如何在挑战中寻找到与自然和谐共存的方式。","1、想象与创造：在阅读的过程中，试着想象自己处于鲁宾逊的情况，思考如果是你，会如何解决遇到的问题。这不仅能增加阅读的趣味性，还能锻炼你的创造力和解决问题的能力。2、日记写作：模仿鲁宾逊，可以尝试写一份自己的“荒岛生存日记”，记录如果你在荒岛上生活，每天会做些什么，遇到问题如何解决。
3、探索生存技能：通过阅读了解到的生存技能，可以在安全的条件下，尝试学习一些基本的生存技能，比如搭建小屋、识别可食用的植物等，这将是一次有趣且有益的实践活动。",六年级,
12.0,小王子（周克希译本）,【法】圣埃克絮佩里,上海译文出版社,9787532747962.0,《小王子》是一本由法国作家圣埃克絮佩里创作的经典作品，讲述了一个来自遥远星球的小王子在地球上的奇妙旅行。在这个旅程中，小王子访问了多个星球，遇见了各种各样的人，包括一个爱发号施令的国王、一个爱虚荣的爱慕者、一个沉迷于数字的酒鬼以及一个居住在地球上的飞行员。通过与这些人的交流，小王子逐渐认识到人生的真谛以及友情和爱的重要性。这本书以其富有哲理的内容和深刻的寓意，不仅吸引了儿童读者，也深受成人喜爱。,"1、角色特点：留意小王子与遇见的每个角色之间的对话和互动，思考这些角色如何反映出人类社会的不同面貌。
2、主题理解：通过阅读，理解爱、责任、孤独和人生意义等主题在故事中的体现。
3、情节预测：在阅读过程中，尝试预测小王子的下一个目的地以及他将会遇见什么样的人，增加阅读的互动性和乐趣。","1、想象与预测：在阅读小王子的旅行故事时，试着想象自己在这些奇异星球的景象，以及可能发生的冒险。
2、情感共鸣：试着从小王子的视角出发，感受他与玫瑰的深情以及对每个遇见的角色的不同情感体验。
3、深入思考：每次小王子的停留和遇见都充满了寓意，思考这些故事如何与你自己的生活相联系，它们对你有什么启示。",六年级,
13.0,苏东坡传（青少年插图版）,林语堂,湖南少年儿童出版社/小博集,9787556251186.0,《苏东坡传》是由林语堂撰写的一本关于北宋时期著名文学家、思想家、书法家、画家苏轼（苏东坡）的传记。本书不仅讲述了苏东坡波折丰富的一生，还深入解析了他的文学创作、政治理念、生活哲学以及他与时代、自然和人民的深刻关系。通过生动的叙述和深入的分析，林语堂将苏东坡多才多艺、情感丰富的人格及其对后世的巨大影响展现得淋漓尽致，让我们不仅能了解一个历史人物的生平，还能感受到一个时代的精神风貌。,"1、人物成就：关注苏东坡在文学、书法、画艺等多个领域的成就及其对中国文化的贡献，思考一个人如何能在多个领域都有所成就。
2、思想与哲学：理解苏东坡如何通过自己的作品表达对生活、自然和社会的深刻思考，以及他的快乐哲学对我们今天生活的启示。
3、时代背景：通过苏东坡的生平故事，了解北宋时期的政治、文化背景以及社会状况，感受历史变迁对个人命运的影响。","1、想象与预测：在阅读苏东坡的故事时，试着想象自己处在那个时代，预测在不同情况下你会如何做，这样可以提高理解历史人物的能力。
2、情感共鸣：苏东坡的一生充满了起伏和挑战，试着从他的经历中找到情感共鸣点，理解他如何面对逆境保持乐观的态度。
3、深入思考：在阅读过程中，思考苏东坡的生活哲学和价值观如何影响我们今天的生活，尤其是他对快乐、自然和艺术的看法。",六年级,
14.0,格列佛游记,【英】乔纳森·斯威夫特,江苏凤凰文艺出版社/读客,9787559432476.0,《格列佛游记》是由乔纳森·斯威夫特创作的一部经典文学作品，主要讲述了一个名叫格列佛的英国船医，因为多次海难而意外来到几个奇特的国度的冒险故事。这些国度包括：利立浦特（小人国）、布罗卜丁奈格（大人国）、飞岛国、以及其他一些充满奇思妙想的地方。通过格列佛的眼睛，斯威夫特展现了对人类社会多方面的讽刺和批评，包括政治、战争、人性等。这本书不仅是一部冒险小说，也是一部深刻的社会讽刺作品，给读者带来了丰富的想象空间和深刻的思考。,"1、文化对比与自我反思：注意格列佛在不同国家的经历，如何展现了各种文化的对比，并借此反思人类社会的不同方面，例如政治、道德和人性。
2、想象力的展开：通过格列佛的奇幻旅程，体会书中丰富的想象力和创造性。
3、社会讽刺和批评：理解斯威夫特如何通过对不同国家和文化的描述，对当时英国乃至整个人类社会的种种弊病进行讽刺和批评。","1、激发想象：在阅读过程中，尽情发挥你的想象力，想象自己与格列佛一同冒险，遇到各种奇特的场景和角色。
2、批判性思维：尝试理解书中的讽刺和批评，思考这些问题在今天的世界中是否仍然存在，我们可以如何从中学习。
3、深入讨论：与同学、朋友或家人分享你的阅读感受，讨论书中的主题、人物或你认为有趣的部分，通过交流加深理解。",六年级,
15.0,世说新语,（南朝宋）刘义庆,南方出版社（无障碍阅读）,9787550146679.0,《世说新语》是一部古典文学作品，汇编了东汉末年到南朝时期的言论和轶事，由刘义庆在南朝时期编撰。这本书以其独特的文学价值和历史地位著称，收录了许多文人墨客、政治家和哲学家的趣闻轶事，展现了那个时代的文化风貌和人物性格。《世说新语》的内容丰富多彩，包括品德、言语、政事、文学等多个方面，不仅是了解中国古代社会生活的重要资料，也是品味古代智慧和幽默的精彩读物。,"1、人物特点：通过阅读书中的轶事，关注不同人物的性格特点和行为方式，思考这些特点在当时社会背景下的意义。
2、文化理解：深入理解《世说新语》中反映的古代中国的文化、价值观和社会风貌，比如对于智慧、幽默、政治和文学的态度。
3、语言鉴赏：注意书中独到的文言文表达和修辞技巧，体会古代汉语的美感和表达的巧妙。","1、品读精选故事：由于《世说新语》内容广泛，建议先从老师或者家长推荐的几个精彩故事开始阅读，逐步深入了解书中的世界。
2、文化背景了解：在阅读过程中，可以辅以查阅资料的方式，了解故事背后的历史背景和文化环境，这将有助于更好地理解书中的内容。
3、讨论与分享：和同学或家人分享你阅读中感兴趣的故事，讨论人物行为背后的动机和时代特色，这样的交流可以加深你的理解和兴趣。",六年级,
16.0,聊斋志异,（清）蒲松龄,南方出版社（无障碍阅读）,9787550146686.0,《聊斋志异》是清代作家蒲松龄所著的一部短篇小说集，共收录了四百余篇以鬼怪和仙人为主题的短篇故事。这些故事大多源于民间传说和作者的想象，不仅充满了神秘和奇幻的色彩，也蕴含了深刻的道德思考和对人性的探索。通过对鬼怪仙人与人类间的爱恨情仇的描绘，蒲松龄传达了对社会现实的批判和对理想人生的追求。《聊斋志异》不仅是中国文言短篇小说巅峰之作，也是了解古代民间信仰、社会生活和文化心态的重要窗口。,"1、想象力的拓展：在阅读过程中，留意书中对鬼怪、仙人和奇幻现象的描绘，激发自己的想象力，思考如果自己遇到这样的情况会怎么做。
2、人性与道德：关注故事中人与鬼怪之间的互动，思考这些故事如何反映了人性的善恶和社会的道德观念。
3、文学鉴赏：欣赏蒲松龄独特的文笔和叙事技巧，体会文言文的魅力，同时注意故事中的比喻、象征等文学手法的使用。","1、选择阅读：《聊斋志异》中的故事种类繁多，建议从老师或家长推荐的几篇开始阅读，逐渐深入了解书中的世界。
2、想象绘画：在阅读每个故事后，可以尝试画出你心中的场景或故事中的人物，这样的活动不仅能增加阅读的趣味性，还能锻炼你的想象力和绘画能力。
3、讨论分享：和同学或家人分享你所读的故事，讨论故事中的人物行为和故事背后可能蕴含的意义，这将有助于你更深刻地理解文本。",六年级,
17.0,地海传奇：地海巫师,【美】厄休·拉勒古恩,江苏文艺出版社/读客,9787539964805.0,《地海巫师》是美国作家厄休拉•勒古恩创作的一部奇幻小说，它是地海系列小说的第一部。故事发生在一个由众多岛屿组成的幻想世界——地海，讲述了一个名叫格得的年轻巫师的成长故事。格得拥有强大的魔法天赋，但在年少轻狂时，他因过于自信而误释放出一个邪恶的黑影生物，之后的故事中，他必须踏上旅程，面对困难和挑战，最终与这个自己释放的黑影对抗，从而找到真正的自我和力量的来源。这部小说不仅是一次惊心动魄的冒险之旅，也深刻探讨了权力、责任和成长的主题。,"1、角色成长：注意格得从一个鲁莽的少年成长为一个明智的巫师的过程，思考成长和学习对一个人的意义。
2、权力与责任：通过格得的故事，理解拥有力量同时也需要承担责任的道理，思考这一主题如何在现实生活中体现。
3、善与恶的辨识：观察格得如何辨识和对抗内在和外在的邪恶，认识到善恶往往并不绝对，而是需要深思熟虑和内心的明智选择。","1、想象与创造：在阅读的过程中，试着想象地海的世界是什么样子，以及你如果是一名巫师，会如何使用你的魔法。
2、情感共鸣：感受格得在成长过程中的喜怒哀乐，尝试从他的经历中找到与自己相似的情感体验，增进对人物的理解。
3、深入思考：阅读完毕后，思考小说中提出的关于成长、责任、以及选择之间的关系，以及这些主题如何与你的生活相联系。",六年级,
18.0,永远讲不完的故事,【德】米切尔·恩德,二十一世纪出版社,9787556851812.0,《永远讲不完的故事》是德国作家米切尔·恩德创作的一本奇幻文学作品，讲述了一个名叫巴斯蒂安的男孩在阅读一本名为《永远讲不完的故事》的书时，意外地发现自己成为了故事的一部分。这本书中的幻想世界名为幻想国，是一个充满了奇幻生物、神秘地方和不可思议事件的地方，但它正因为人类世界的忘记而逐渐消亡。巴斯蒂安必须在幻想国进行一场冒险，以拯救这个世界并找到回家的路。这个故事不仅是一场精彩绝伦的冒险旅程，也探讨了忘记与记忆、现实与幻想之间的界限，以及每个人内心深处的愿望和恐惧。,"1、想象力的力量：注意故事中想象力如何改变幻想王国的命运，以及巴斯蒂安如何用自己的想象力解决问题。
2、自我发现之旅：通过巴斯蒂安的冒险，观察他是如何逐渐了解自己、克服内心的恐惧并发现自己真正的愿望。
3、现实与幻想的界限：思考《永远讲不完的故事》中现实世界和幻想王国之间的关系，以及这种关系对巴斯蒂安的成长有何意义。","1、激发想象：在阅读过程中，尝试着构想自己在幻想国的冒险，想象遇到的生物、地方和事件，以此来激发你的想象力。
2、情感共鸣：试着理解巴斯蒂安面对的挑战和他的情感变化，思考在类似情境下你会怎么做，以及这些经历如何帮助你成长。
3、反思阅读体验：完成阅读后，反思这本书对你来说意味着什么，它如何影响了你对自己和周围世界的看法。",六年级,
19.0,朝花夕拾,鲁迅,人民文学出版社,9787020137701.0,《朝花夕拾》是鲁迅先生的一部杂文集，其中收录了鲁迅童年和少年时期的回忆录。这些文章以鲁迅的亲身经历为背景，讲述了作者在清末民初社会变革时期的生活片段，展示了中国传统文化与西方文化冲突、融合下的种种矛盾。通过对童年记忆的回顾，鲁迅不仅抒发了个人的情感，也表达了对旧社会的批评和对新生活的期待。这本书不仅是鲁迅个人记忆的再现，也是一部中国近代历史的缩影。,"1、社会背景：了解《朝花夕拾》中描述的故事背后的历史和社会背景，思考这些背景如何影响人物的行为和命运。
2、人物形象：关注书中人物的性格特点及其成长变化，特别是鲁迅先生如何通过自己的经历，展现出对生活的态度和对未来的期望。
3、文化冲突与融合：观察书中展现的中西文化冲突与融合，思考不同文化背景下人们的生活方式和价值观如何发生改变。","1、深入理解历史：在阅读过程中，可以结合查找一些清末民初的历史资料，帮助理解故事背景，深化对文中事件的理解。
2、情感共鸣：尝试从鲁迅的角度去感受书中的故事，理解他对旧社会的不满和对新生活的渴望，从而培养对历史和社会的敏感度。
3、批判思维：通过阅读，学会批判地思考旧社会的不合理之处，同时思考在当下社会，我们应如何正视问题，勇于改革创新。",六年级,
20.0,人类群星闪耀时,【奥】斯蒂芬·茨威格,南方出版社（无障碍阅读）,9787550141865.0,《人类群星闪耀时》是一本由斯蒂芬·茨威格编写的历史故事集，通过讲述历史上关键时刻和人物的故事，展现了人类在重大历史事件中的选择、勇气和智慧。书中的故事包括但不限于西塞罗的决策、威尔逊的失误等，揭示了在命运的关键时刻，一些人如何展现出非凡的勇气和决心。,"1、关键时刻的选择：关注书中人物在关键时刻所做的选择，思考这些选择如何影响了历史的走向。
2、人性的光辉：通过故事，理解在逆境中展现的人性光辉，包括勇气、智慧和牺牲精神。
3、历史的影响：认识到历史事件对当下和未来的影响，以及我们可以从中学到的教训。","1、联系历史背景：在阅读每个故事时，尝试了解更多关于该时期的历史背景，以更好地理解事件的重要性。
2、思考与讨论：在阅读过程中，思考和讨论人物的选择及其后果，以及如果自己处于相似情境中会怎么做。",六年级,
1.0,纳尼亚传奇：狮子、女巫和魔衣橱,【英】C.S.刘易斯,云南美术出版社/果麦,9787548937876.0,《纳尼亚传奇：狮子、女巫和魔衣橱》是一本充满魔法与冒险的奇幻小说，讲述了四个孩子——彼得、苏珊、爱德蒙和露西——穿过衣橱进入纳尼亚世界的故事。在那里，他们遇到了善良的狮子阿斯兰，以及邪恶的白女巫。这本书不仅充满了惊险的冒险，还讲述了勇气、牺牲、赎罪和复兴的主题。,"1、角色特点：注意每个孩子的性格特点及他们的成长变化。
2、主题理解：理解勇气、友情、牺牲等主题在故事中的体现。
3、想象力的运用：通过故事中的奇幻元素，发挥想象力，体验不同的冒险经历。","1、想象与描绘：在阅读时尝试想象书中描述的场景，可以绘画出来，增加阅读乐趣。
2、角色扮演：选择一个自己喜欢的角色进行角色扮演，深入理解角色性格和故事情节。
3、深入讨论：与朋友或家人讨论故事中的重要主题和教训，共同分享阅读感受。",五年级,
2.0,特别的女生萨哈拉,【美】爱斯米·科德尔,湖南少年儿童出版社/小博集,9787556244423.0,《特别的女生萨哈拉》是一本讲述萨哈拉这位不同寻常的女生和她的生活经历的故事。萨哈拉生活在一个充满挑战的环境中，但她凭借自己的勇气和智慧，面对各种困难，展现了非凡的韧性和独立精神。在这个过程中，她遇到了各式各样的人，学会了友谊、爱、同情和自我发现的重要性。萨哈拉的故事激励着读者勇敢地面对生活的挑战，同时也探讨了成长过程中的自我认知和相互理解。,"1、角色成长：注意萨哈拉如何通过克服生活中的困难而成长，她的经历如何帮助她形成了独特的个性和坚韧的性格。
2、主题理解：思考书中展现的勇气、友谊和自我发现等主题，它们是如何通过故事情节和角色发展被体现出来的。
3、情感共鸣：在阅读萨哈拉的故事时，试着理解和感受她的情绪，思考如果是你，会如何应对她所面临的挑战和决策。","1、深入思考：阅读时，不仅要关注故事的表面情节，还要思考萨哈拉的选择和行为背后的深层意义，以及这些对你自己的启示。
2、情感共鸣与表达：试着将自己置于萨哈拉的情境中，想象如果面对相似的情况，你会有怎样的感受，可以尝试将这些感受记录下来或与他人分享。
3、角色讨论：与同学或朋友讨论萨哈拉的性格特点及她如何应对生活挑战，这种交流可以帮助深化对故事的理解和对角色的感情。",五年级,
3.0,快乐王子,【英】王尔德,上海译文出版社,9787532750566.0,《快乐王子》是王尔德创作的一个童话故事，讲述了一座城市中的快乐王子雕像和一只燕子的故事。快乐王子的雕像在他生前并不知道人间的痛苦，但死后作为雕像目睹了各种苦难。他请求一只南飞的燕子留下来，帮助他利用自己身上的宝石和金叶子来帮助城市里的穷苦人民。燕子虽然起初有些迟疑，但最终被王子的善良感动，决定留下来帮助他完成这个使命。这个故事充满了牺牲、慈悲和无私的爱的主题。,"1、善良与牺牲：注意到快乐王子和燕子所做的牺牲，他们如何放弃自己的需求来帮助别人。 2、人间苦难：理解故事中描绘的不同人物的困境和苦难，以及快乐王子如何感受到这些痛苦。 
3、爱与悲悯：感受故事中的爱与悲悯，以及这些情感如何驱使主角帮助他人。","1、情感投入：在阅读时，尝试感受每个角色的情感，理解他们的动机和行动。
2、深入思考：思考这个故事如何反映现实生活中的道德问题，比如社会不公和人间的苦难。 3、讨论与分享：与同学、朋友或家人讨论这个故事，分享你的想法和感受，看看他们是否有不同的理解。",五年级,
